sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;position;
1585056069;51873;1651507936;859331;1585056069;51873;0.1134068;
1585056069;152388;1651507937;44542;1585056069;152388;0.1134068;
1585056069;252900;1651507937;278487;1585056069;252900;0.1134068;
1585056069;353659;1651507937;523260;1585056069;353659;0.1134068;
1585056069;454161;1651507937;742103;1585056069;454161;0.1134068;
1585056069;554723;1651507938;42956;1585056069;554723;0.1134068;
1585056069;655232;1651507938;246072;1585056069;655232;0.1134068;
1585056069;755758;1651507938;537828;1585056069;755758;0.1134068;
1585056069;856376;1651507938;741701;1585056069;856376;0.1134068;
1585056069;957016;1651507938;971808;1585056069;957016;0.1134068;
1585056070;57923;1651507939;178943;1585056070;57923;0.1134068;
1585056070;158535;1651507939;402347;1585056070;158535;0.1134068;
1585056070;259158;1651507939;626424;1585056070;259158;0.1134068;
1585056070;359682;1651507939;836675;1585056070;359682;0.1134068;
1585056070;460216;1651507940;56916;1585056070;460216;0.123722;
1585056070;560727;1651507940;267027;1585056070;560727;0.1134068;
1585056070;661269;1651507940;437198;1585056070;661269;0.1134068;
1585056070;761786;1651507940;631744;1585056070;761786;0.123722;
1585056070;862273;1651507940;853498;1585056070;862273;0.1134068;
1585056070;962903;1651507941;71922;1585056070;962903;0.123722;
1585056071;63394;1651507941;354701;1585056071;63394;0.1134068;
1585056071;163895;1651507941;569773;1585056071;163895;0.123722;
1585056071;264417;1651507941;758355;1585056071;264417;0.123722;
1585056071;364958;1651507941;930408;1585056071;364958;0.123722;
1585056071;465537;1651507942;108829;1585056071;465537;0.1134068;
1585056071;566104;1651507942;319671;1585056071;566104;0.1134068;
1585056071;666735;1651507942;496329;1585056071;666735;0.1134068;
1585056071;767352;1651507942;704858;1585056071;767352;0.1134068;
1585056071;867880;1651507942;965963;1585056071;867880;0.1134068;
1585056071;968464;1651507943;225270;1585056071;968464;0.1134068;
1585056072;68976;1651507943;441106;1585056072;68976;0.1134068;
1585056072;169485;1651507943;638966;1585056072;169485;0.1134068;
1585056072;270008;1651507943;835115;1585056072;270008;0.1134068;
1585056072;370525;1651507944;51451;1585056072;370525;0.123722;
1585056072;471036;1651507944;240585;1585056072;471036;0.1134068;
1585056072;571575;1651507944;467112;1585056072;571575;0.1134068;
1585056072;672090;1651507944;658350;1585056072;672090;0.1134068;
1585056072;772616;1651507944;885477;1585056072;772616;0.1134068;
1585056072;873130;1651507945;98077;1585056072;873130;0.1134068;
1585056072;973662;1651507945;324096;1585056072;973662;0.1134068;
1585056073;74210;1651507945;517942;1585056073;74210;0.123722;
1585056073;174804;1651507945;779448;1585056073;174804;0.123722;
1585056073;275433;1651507946;11741;1585056073;275433;0.123722;
1585056073;375992;1651507946;238350;1585056073;375992;0.1134068;
1585056073;476519;1651507946;446242;1585056073;476519;0.1134068;
1585056073;577057;1651507946;650625;1585056073;577057;0.1134068;
1585056073;677546;1651507946;896846;1585056073;677546;0.123722;
1585056073;778006;1651507947;129693;1585056073;778006;0.1134068;
1585056073;878609;1651507947;358243;1585056073;878609;0.1134068;
1585056073;979119;1651507947;620041;1585056073;979119;0.123722;
1585056074;79758;1651507947;842627;1585056074;79758;0.123722;
1585056074;180466;1651507948;44960;1585056074;180466;0.123722;
1585056074;281146;1651507948;243983;1585056074;281146;0.123722;
1585056074;382124;1651507948;467193;1585056074;382124;0.123722;
1585056074;482982;1651507948;672688;1585056074;482982;0.123722;
1585056074;583436;1651507948;884290;1585056074;583436;0.123722;
1585056074;683897;1651507949;114482;1585056074;683897;0.123722;
1585056074;784438;1651507949;400448;1585056074;784438;0.123722;
1585056074;884978;1651507949;604805;1585056074;884978;0.123722;
1585056074;985504;1651507949;884988;1585056074;985504;0.123722;
1585056075;86100;1651507950;82416;1585056075;86100;0.123722;
1585056075;186585;1651507950;322683;1585056075;186585;0.123722;
1585056075;287182;1651507950;532813;1585056075;287182;0.123722;
1585056075;388443;1651507950;783239;1585056075;388443;0.123722;
1585056075;489189;1651507951;52345;1585056075;489189;0.1134068;
1585056075;589699;1651507951;350592;1585056075;589699;0.123722;
1585056075;690337;1651507951;503581;1585056075;690337;0.1134068;
1585056075;791002;1651507951;703875;1585056075;791002;0.1134068;
1585056075;891851;1651507951;975178;1585056075;891851;0.1134068;
1585056075;992416;1651507952;206580;1585056075;992416;0.1134068;
1585056076;93161;1651507952;423955;1585056076;93161;0.1134068;
1585056076;193793;1651507952;682826;1585056076;193793;0.1134068;
1585056076;294324;1651507952;936079;1585056076;294324;0.1134068;
1585056076;395048;1651507953;144244;1585056076;395048;0.1134068;
1585056076;495571;1651507953;349098;1585056076;495571;0.1134068;
1585056076;596257;1651507953;578921;1585056076;596257;0.1134068;
1585056076;696926;1651507953;782758;1585056076;696926;0.1134068;
1585056076;797546;1651507954;20926;1585056076;797546;0.1134068;
1585056076;898432;1651507954;305021;1585056076;898432;0.1134068;
1585056076;999075;1651507954;534504;1585056076;999075;0.1134068;
1585056077;99793;1651507954;835818;1585056077;99793;0.1134068;
1585056077;200363;1651507955;72254;1585056077;200363;0.1134068;
1585056077;301283;1651507955;280072;1585056077;301283;0.1134068;
1585056077;401970;1651507955;513525;1585056077;401970;0.123722;
1585056077;502695;1651507955;749648;1585056077;502695;0.1134068;
1585056077;603609;1651507955;992116;1585056077;603609;0.1134068;
1585056077;704272;1651507956;184719;1585056077;704272;0.123722;
1585056077;805038;1651507956;395371;1585056077;805038;0.1134068;
1585056077;905708;1651507956;648806;1585056077;905708;0.123722;
1585056078;6363;1651507956;873080;1585056078;6363;0.123722;
1585056078;107008;1651507957;155722;1585056078;107008;0.123722;
1585056078;207680;1651507957;423559;1585056078;207680;0.123722;
1585056078;308520;1651507957;671223;1585056078;308520;0.123722;
1585056078;409168;1651507957;915362;1585056078;409168;0.123722;
1585056078;510014;1651507958;141052;1585056078;510014;0.123722;
1585056078;610705;1651507958;334721;1585056078;610705;0.123722;
1585056078;711477;1651507958;535240;1585056078;711477;0.123722;
1585056078;812378;1651507958;769556;1585056078;812378;0.123722;
1585056078;913101;1651507958;976447;1585056078;913101;0.123722;
1585056079;13877;1651507959;243457;1585056079;13877;0.123722;
1585056079;115277;1651507959;472672;1585056079;115277;0.123722;
1585056079;215861;1651507959;714958;1585056079;215861;0.123722;
1585056079;316883;1651507959;962229;1585056079;316883;0.123722;
1585056079;417581;1651507960;193772;1585056079;417581;0.123722;
1585056079;518383;1651507960;402539;1585056079;518383;0.123722;
1585056079;619072;1651507960;606351;1585056079;619072;0.123722;
1585056079;719741;1651507960;851783;1585056079;719741;0.123722;
1585056079;820448;1651507961;101911;1585056079;820448;0.123722;
1585056079;920991;1651507961;352152;1585056079;920991;0.123722;
1585056080;21736;1651507961;611278;1585056080;21736;0.123722;
1585056080;122545;1651507961;822556;1585056080;122545;0.123722;
1585056080;223203;1651507962;32742;1585056080;223203;0.123722;
1585056080;324020;1651507962;238499;1585056080;324020;0.123722;
1585056080;424449;1651507962;405058;1585056080;424449;0.1134068;
1585056080;526274;1651507962;661070;1585056080;526274;0.1134068;
1585056080;626951;1651507962;847656;1585056080;626951;0.1134068;
1585056080;727803;1651507963;80892;1585056080;727803;0.1134068;
1585056080;828630;1651507963;316572;1585056080;828630;0.1134068;
1585056080;929240;1651507963;525511;1585056080;929240;0.1134068;
1585056081;29913;1651507963;770834;1585056081;29913;0.123722;
1585056081;130477;1651507963;989118;1585056081;130477;0.1134068;
1585056081;231100;1651507964;218262;1585056081;231100;0.123722;
1585056081;331745;1651507964;408787;1585056081;331745;0.123722;
1585056081;432391;1651507964;628989;1585056081;432391;0.123722;
1585056081;533080;1651507964;777419;1585056081;533080;0.123722;
1585056081;633801;1651507964;999312;1585056081;633801;0.123722;
1585056081;734426;1651507965;262229;1585056081;734426;0.123722;
1585056081;835021;1651507965;475977;1585056081;835021;0.123722;
1585056081;935664;1651507965;669804;1585056081;935664;0.123722;
1585056082;36321;1651507965;885308;1585056082;36321;0.123722;
1585056082;136978;1651507966;105500;1585056082;136978;0.123722;
1585056082;237600;1651507966;292823;1585056082;237600;0.123722;
1585056082;338362;1651507966;495064;1585056082;338362;0.1134068;
1585056082;439275;1651507966;668726;1585056082;439275;0.1134068;
1585056082;539746;1651507966;906136;1585056082;539746;0.123722;
1585056082;640050;1651507967;115428;1585056082;640050;0.123722;
1585056082;740668;1651507967;336595;1585056082;740668;0.123722;
1585056082;841339;1651507967;556801;1585056082;841339;0.123722;
1585056082;941949;1651507967;817193;1585056082;941949;0.1134068;
1585056083;42626;1651507968;99209;1585056083;42626;0.1134068;
1585056083;143291;1651507968;288603;1585056083;143291;0.1134068;
1585056083;243932;1651507968;518778;1585056083;243932;0.1134068;
1585056083;344547;1651507968;999053;1585056083;344547;0.1134068;
1585056083;445044;1651507969;471340;1585056083;445044;0.123722;
1585056083;545682;1651507970;26034;1585056083;545682;0.1134068;
1585056083;646303;1651507970;526404;1585056083;646303;0.1134068;
1585056083;746923;1651507970;914880;1585056083;746923;0.1134068;
1585056083;847536;1651507971;134951;1585056083;847536;0.1134068;
1585056083;948167;1651507971;329623;1585056083;948167;0.1134068;
1585056084;48907;1651507971;535317;1585056084;48907;0.1134068;
1585056084;149553;1651507971;710031;1585056084;149553;0.123722;
1585056084;250240;1651507971;925650;1585056084;250240;0.123722;
1585056084;350876;1651507972;145832;1585056084;350876;0.123722;
1585056084;451506;1651507972;375544;1585056084;451506;0.123722;
1585056084;552046;1651507972;605255;1585056084;552046;0.123722;
1585056084;652588;1651507972;824166;1585056084;652588;0.123722;
1585056084;753168;1651507973;154380;1585056084;753168;0.123722;
1585056084;853784;1651507973;368112;1585056084;853784;0.123722;
1585056084;954507;1651507973;557295;1585056084;954507;0.123722;
1585056085;54566;1651507973;819115;1585056085;54566;0.123722;
1585056085;155156;1651507974;39277;1585056085;155156;0.123722;
1585056085;255799;1651507974;290901;1585056085;255799;0.123722;
1585056085;356409;1651507974;525708;1585056085;356409;0.123722;
1585056085;457067;1651507974;721276;1585056085;457067;0.123722;
1585056085;558211;1651507974;960543;1585056085;558211;0.123722;
1585056085;658955;1651507975;185647;1585056085;658955;0.123722;
1585056085;759578;1651507975;405969;1585056085;759578;0.123722;
1585056085;860213;1651507975;601486;1585056085;860213;0.123722;
1585056085;960851;1651507975;821378;1585056085;960851;0.123722;
1585056086;61538;1651507976;21181;1585056086;61538;0.1134068;
1585056086;162193;1651507976;246917;1585056086;162193;0.1134068;
1585056086;263090;1651507976;441103;1585056086;263090;0.1134068;
1585056086;364310;1651507976;763044;1585056086;364310;0.123722;
1585056086;464237;1651507977;1004;1585056086;464237;0.1134068;
1585056086;564911;1651507977;220637;1585056086;564911;0.1134068;
1585056086;665539;1651507977;439598;1585056086;665539;0.1134068;
1585056086;766209;1651507977;646578;1585056086;766209;0.1134068;
1585056086;866888;1651507977;896796;1585056086;866888;0.1134068;
1585056086;967503;1651507978;172800;1585056086;967503;0.1134068;
1585056087;68147;1651507978;378581;1585056087;68147;0.1134068;
1585056087;168764;1651507978;589348;1585056087;168764;0.1134068;
1585056087;269551;1651507978;798618;1585056087;269551;0.1134068;
1585056087;370127;1651507978;957487;1585056087;370127;0.1134068;
1585056087;470834;1651507979;215206;1585056087;470834;0.1134068;
1585056087;571640;1651507979;452615;1585056087;571640;0.1134068;
1585056087;672446;1651507979;689620;1585056087;672446;0.1134068;
1585056087;773182;1651507979;932346;1585056087;773182;0.123722;
1585056087;873777;1651507980;144948;1585056087;873777;0.123722;
1585056087;974350;1651507980;375406;1585056087;974350;0.123722;
1585056088;74987;1651507980;574187;1585056088;74987;0.123722;
