sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;angle;
1651507979;334886;1651507979;334899;1651507979;334886;-0.1734599;
1651507979;591953;1651507979;591963;1651507979;591953;0.07979822;
1651507979;844799;1651507979;844812;1651507979;844799;0.1537587;
1651507980;67705;1651507980;67724;1651507980;67705;-0.0158688;
1651507980;286506;1651507980;286520;1651507980;286506;0.07254794;
1651507980;726981;1651507980;726995;1651507980;726981;0.3635185;
1651507980;979254;1651507980;979266;1651507980;979254;0.4875041;
1651507981;234839;1651507981;234853;1651507981;234839;0.7899994;
1651507981;475228;1651507981;475242;1651507981;475228;0.6016676;
1651507981;708905;1651507981;708919;1651507981;708905;0.9340439;
1651507982;152606;1651507982;152620;1651507982;152606;1.017448;
1651507982;369573;1651507982;369586;1651507982;369573;1.070809;
1651507982;571123;1651507982;571139;1651507982;571123;0.9819836;
1651507983;9629;1651507983;9643;1651507983;9629;0.9816614;
1651507983;233881;1651507983;233898;1651507983;233881;1.078386;
1651507983;429367;1651507983;429381;1651507983;429367;1.041471;
1651507983;622294;1651507983;622308;1651507983;622294;1.071528;
1651507983;802904;1651507983;802919;1651507983;802904;1.10711;
1651507984;22153;1651507984;22167;1651507984;22153;1.071768;
1651507984;223014;1651507984;223027;1651507984;223014;1.068155;
1651507984;417683;1651507984;417697;1651507984;417683;0.9558889;
1651507984;786810;1651507984;786824;1651507984;786810;0.9754799;
1651507984;987357;1651507984;987372;1651507984;987357;0.1445887;
1651507985;234970;1651507985;234982;1651507985;234970;0.2339761;
1651507985;448588;1651507985;448604;1651507985;448588;0.5880774;
1651507985;640975;1651507985;640988;1651507985;640975;0.2415221;
1651507985;877855;1651507985;877871;1651507985;877855;0.6299229;
1651507986;311031;1651507986;311044;1651507986;311031;0.7774382;
1651507986;557794;1651507986;557807;1651507986;557794;0.571045;
1651507986;809589;1651507986;809604;1651507986;809589;0.9191105;
1651507987;33317;1651507987;33332;1651507987;33317;0.9487531;
1651507987;238894;1651507987;238911;1651507987;238894;0.9233113;
1651507987;451216;1651507987;451231;1651507987;451216;0.8555499;
1651507987;866122;1651507987;866135;1651507987;866122;0.9617465;
1651507988;33140;1651507988;33151;1651507988;33140;0.9355171;
1651507988;244759;1651507988;244775;1651507988;244759;1.003186;
1651507988;463150;1651507988;463164;1651507988;463150;0.9600338;
1651507988;695151;1651507988;695164;1651507988;695151;0.8686635;
1651507988;916011;1651507988;916026;1651507988;916011;0.692453;
1651507989;126814;1651507989;126828;1651507989;126814;0.8137074;
1651507989;639266;1651507989;639280;1651507989;639266;0.6360244;
1651507989;840286;1651507989;840301;1651507989;840286;0.1059624;
1651507990;3894;1651507990;3908;1651507990;3894;-0.1592805;
1651507990;438718;1651507990;438732;1651507990;438718;0.4097041;
