sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSteering;
1585056069;856622;1651507938;745888;1585056069;856622;-0;
1585056069;957555;1651507938;975827;1585056069;957555;-0;
1585056070;58265;1651507939;186031;1585056070;58265;-0;
1585056070;158800;1651507939;406195;1585056070;158800;-0;
1585056070;259411;1651507939;629845;1585056070;259411;-0;
1585056070;359928;1651507939;839701;1585056070;359928;-0;
1585056070;460441;1651507940;59320;1585056070;460441;-0;
1585056070;560990;1651507940;277034;1585056070;560990;-0;
1585056070;661499;1651507940;439270;1585056070;661499;-0;
1585056070;762004;1651507940;634382;1585056070;762004;-0;
1585056070;862542;1651507940;859859;1585056070;862542;-0;
1585056070;963157;1651507941;80083;1585056070;963157;-0;
1585056071;63638;1651507941;364029;1585056071;63638;-0;
1585056071;164160;1651507941;573071;1585056071;164160;-0;
1585056071;264673;1651507941;762621;1585056071;264673;-0;
1585056071;365249;1651507941;935437;1585056071;365249;-0;
1585056071;465767;1651507942;117736;1585056071;465767;-0;
1585056071;566409;1651507942;321740;1585056071;566409;-0;
1585056071;667050;1651507942;506343;1585056071;667050;-0;
1585056071;767640;1651507942;705855;1585056071;767640;-0;
1585056071;868189;1651507942;968723;1585056071;868189;-0;
1585056071;968710;1651507943;225515;1585056071;968710;-0;
1585056072;69210;1651507943;447500;1585056072;69210;-0;
1585056072;169728;1651507943;646077;1585056072;169728;-0;
1585056072;270259;1651507943;840644;1585056072;270259;-0;
1585056072;370782;1651507944;57789;1585056072;370782;-0;
1585056072;471325;1651507944;247967;1585056072;471325;-0;
1585056072;571815;1651507944;468122;1585056072;571815;-0;
1585056072;672348;1651507944;665985;1585056072;672348;0.003000584;
1585056072;772852;1651507944;886590;1585056072;772852;0.1469487;
1585056072;873383;1651507945;108078;1585056072;873383;0.1889392;
1585056072;973916;1651507945;325937;1585056072;973916;0.197932;
1585056073;74488;1651507945;522483;1585056073;74488;0.197932;
1585056073;175172;1651507945;781474;1585056073;175172;0.1949314;
1585056073;275725;1651507946;13757;1585056073;275725;0.1649434;
1585056073;376248;1651507946;241038;1585056073;376248;0.1619428;
1585056073;476782;1651507946;446811;1585056073;476782;0.1649434;
1585056073;577274;1651507946;654498;1585056073;577274;0.128963;
1585056073;677756;1651507946;901178;1585056073;677756;-0;
1585056073;778337;1651507947;132227;1585056073;778337;-0;
1585056073;878871;1651507947;359159;1585056073;878871;-0;
1585056073;979404;1651507947;621816;1585056073;979404;-0;
1585056074;80199;1651507947;843380;1585056074;80199;-0;
1585056074;180742;1651507948;49380;1585056074;180742;0.167944;
1585056074;281710;1651507948;249073;1585056074;281710;0.167944;
1585056074;382660;1651507948;475251;1585056074;382660;-0;
1585056074;483190;1651507948;680878;1585056074;483190;-0;
1585056074;583644;1651507948;891282;1585056074;583644;-0;
1585056074;684181;1651507949;121678;1585056074;684181;-0;
1585056074;784681;1651507949;402493;1585056074;784681;-0;
1585056074;885243;1651507949;609556;1585056074;885243;-0;
1585056074;985813;1651507949;888845;1585056074;985813;-0;
1585056075;86336;1651507950;85177;1585056075;86336;-0;
1585056075;186880;1651507950;325358;1585056075;186880;-0;
1585056075;287474;1651507950;535489;1585056075;287474;-0;
1585056075;388809;1651507950;785177;1585056075;388809;-0;
1585056075;489433;1651507951;62904;1585056075;489433;-0.1169518;
1585056075;590030;1651507951;354155;1585056075;590030;-0;
1585056075;690688;1651507951;513610;1585056075;690688;-0;
1585056075;791426;1651507951;713928;1585056075;791426;-0;
1585056075;892132;1651507951;977261;1585056075;892132;-0;
1585056075;992735;1651507952;207508;1585056075;992735;-0;
1585056076;93407;1651507952;425567;1585056076;93407;-0;
1585056076;194045;1651507952;685879;1585056076;194045;-0;
1585056076;294608;1651507952;940477;1585056076;294608;-0;
1585056076;395289;1651507953;146390;1585056076;395289;-0;
1585056076;495875;1651507953;356593;1585056076;495875;-0;
1585056076;596551;1651507953;581207;1585056076;596551;-0;
1585056076;697208;1651507953;783264;1585056076;697208;0.2039332;
1585056076;797922;1651507954;22326;1585056076;797922;-0;
1585056076;898784;1651507954;305647;1585056076;898784;-0;
1585056076;999448;1651507954;544459;1585056076;999448;-0;
1585056077;100079;1651507954;844806;1585056077;100079;-0;
1585056077;200887;1651507955;73773;1585056077;200887;-0;
1585056077;301571;1651507955;286235;1585056077;301571;0.0479916;
1585056077;402365;1651507955;520549;1585056077;402365;0.2189272;
1585056077;503019;1651507955;754454;1585056077;503019;-0;
1585056077;603971;1651507955;993510;1585056077;603971;-0;
1585056077;704611;1651507956;186953;1585056077;704611;-0;
1585056077;805393;1651507956;396358;1585056077;805393;-0;
1585056077;906025;1651507956;661687;1585056077;906025;-0;
1585056078;6678;1651507956;878018;1585056078;6678;-0;
1585056078;107361;1651507957;163324;1585056078;107361;-0;
1585056078;208023;1651507957;435071;1585056078;208023;-0;
1585056078;308834;1651507957;673861;1585056078;308834;-0;
1585056078;409657;1651507957;919284;1585056078;409657;-0;
1585056078;510325;1651507958;146865;1585056078;510325;-0;
1585056078;611072;1651507958;339725;1585056078;611072;-0;
1585056078;711898;1651507958;545264;1585056078;711898;-0;
1585056078;812713;1651507958;775362;1585056078;812713;0.05698447;
1585056078;913488;1651507958;986278;1585056078;913488;0.06298564;
1585056079;14179;1651507959;253487;1585056079;14179;0.06597735;
1585056079;116173;1651507959;482540;1585056079;116173;0.06298564;
1585056079;216519;1651507959;716457;1585056079;216519;0.06597735;
1585056079;317260;1651507959;972223;1585056079;317260;0.1319547;
1585056079;417905;1651507960;200924;1585056079;417905;0.1859386;
1585056079;518733;1651507960;405755;1585056079;518733;0.1799374;
1585056079;619417;1651507960;611615;1585056079;619417;0.1799374;
1585056079;720084;1651507960;853467;1585056079;720084;0.1469487;
1585056079;820706;1651507961;106440;1585056079;820706;0.05998505;
1585056079;921392;1651507961;352324;1585056079;921392;0.05398389;
1585056080;22214;1651507961;612344;1585056080;22214;0.05398389;
1585056080;122859;1651507961;830793;1585056080;122859;0.128963;
1585056080;223607;1651507962;34645;1585056080;223607;0.1889392;
1585056080;324471;1651507962;244493;1585056080;324471;0.1799374;
1585056080;424702;1651507962;407110;1585056080;424702;0.167944;
1585056080;526656;1651507962;661623;1585056080;526656;0.09297372;
1585056080;627453;1651507962;850987;1585056080;627453;-0;
1585056080;728301;1651507963;89251;1585056080;728301;-0.03598038;
1585056080;828951;1651507963;320259;1585056080;828951;-0.03598038;
1585056080;929540;1651507963;533646;1585056080;929540;-0;
1585056081;30211;1651507963;779288;1585056081;30211;-0;
1585056081;130770;1651507963;994191;1585056081;130770;-0;
1585056081;231440;1651507964;218473;1585056081;231440;-0;
1585056081;332058;1651507964;417426;1585056081;332058;-0;
1585056081;432723;1651507964;631631;1585056081;432723;-0;
1585056081;533463;1651507964;805185;1585056081;533463;-0.01499404;
1585056081;634133;1651507965;5765;1585056081;634133;-0;
1585056081;734701;1651507965;269484;1585056081;734701;-0;
1585056081;835346;1651507965;479618;1585056081;835346;-0;
1585056081;935981;1651507965;675936;1585056081;935981;-0;
1585056082;36664;1651507965;888273;1585056082;36664;-0;
1585056082;137308;1651507966;110703;1585056082;137308;-0;
1585056082;237898;1651507966;295702;1585056082;237898;0.09896602;
1585056082;338761;1651507966;505072;1585056082;338761;0.2339213;
1585056082;440121;1651507966;675976;1585056082;440121;-0;
1585056082;540397;1651507966;916121;1585056082;540397;-0;
1585056082;640307;1651507967;123617;1585056082;640307;-0;
1585056082;741003;1651507967;338387;1585056082;741003;-0;
1585056082;841616;1651507967;558368;1585056082;841616;-0;
1585056082;942307;1651507967;822816;1585056082;942307;-0;
1585056083;42925;1651507968;99472;1585056083;42925;-0;
1585056083;143639;1651507968;293478;1585056083;143639;-0;
1585056083;244239;1651507968;529174;1585056083;244239;0.01200234;
1585056083;344775;1651507969;4996;1585056083;344775;0.01500292;
1585056083;445314;1651507969;479794;1585056083;445314;0.01500292;
1585056083;546009;1651507970;29661;1585056083;546009;0.05998505;
1585056083;646626;1651507970;529736;1585056083;646626;0.1349553;
1585056083;747259;1651507970;915352;1585056083;747259;0.2129261;
1585056083;847842;1651507971;136767;1585056083;847842;0.2129261;
1585056083;948570;1651507971;335136;1585056083;948570;0.197932;
1585056084;49183;1651507971;541990;1585056084;49183;0.1619428;
1585056084;149860;1651507971;711076;1585056084;149860;0.08997314;
1585056084;250572;1651507971;930367;1585056084;250572;0.09597431;
1585056084;351232;1651507972;150676;1585056084;351232;0.1139601;
1585056084;451752;1651507972;379225;1585056084;451752;0.1139601;
1585056084;552287;1651507972;610560;1585056084;552287;0.1139601;
1585056084;652831;1651507972;834065;1585056084;652831;0.128963;
1585056084;753477;1651507973;162077;1585056084;753477;0.128963;
1585056084;854072;1651507973;368592;1585056084;854072;0.128963;
1585056084;955063;1651507973;568866;1585056084;955063;0.04499101;
1585056085;54837;1651507973;821224;1585056085;54837;-0;
1585056085;155456;1651507974;42928;1585056085;155456;-0;
1585056085;256120;1651507974;294808;1585056085;256120;-0;
1585056085;356697;1651507974;526060;1585056085;356697;-0;
1585056085;457493;1651507974;725139;1585056085;457493;0.1619428;
1585056085;558551;1651507974;965322;1585056085;558551;-0;
1585056085;659289;1651507975;195562;1585056085;659289;-0;
1585056085;759947;1651507975;415990;1585056085;759947;-0;
1585056085;860528;1651507975;606111;1585056085;860528;-0;
1585056085;961244;1651507975;826276;1585056085;961244;-0;
1585056086;61828;1651507976;26434;1585056086;61828;-0.1439482;
1585056086;162664;1651507976;251667;1585056086;162664;-0.152941;
1585056086;263572;1651507976;446763;1585056086;263572;-0.08996427;
1585056086;364799;1651507976;770603;1585056086;364799;-0.1889303;
1585056086;464602;1651507977;2137;1585056086;464602;-0;
1585056086;565202;1651507977;224334;1585056086;565202;-0;
1585056086;665833;1651507977;443280;1585056086;665833;-0;
1585056086;766503;1651507977;651922;1585056086;766503;-0;
1585056086;867164;1651507977;906838;1585056086;867164;-0;
1585056086;967828;1651507978;174615;1585056086;967828;-0;
1585056087;68438;1651507978;380986;1585056087;68438;-0;
1585056087;169214;1651507978;591418;1585056087;169214;-0;
1585056087;269828;1651507978;799090;1585056087;269828;-0;
1585056087;370436;1651507978;965090;1585056087;370436;-0;
